Product Name,Item Number,Product Image,Description,Overview,Feature 1,Feature 2,Feature 3,Feature 4,CS,Size,Price,Price 1-5 Cases,Price 6-29 Cases,Price 30+ Cases,productFamily,variantLabel,sellByEach,priceBy,weight,length,width,height
"Premium 24x50 Bath Towels - White, 5 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-BTW-24X50-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260980/pbath_towel.png,"Size: 24"" × 50"" | Weight: 1.7 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Bath Towel is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 24 x 50. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",24 x 50 inch extended premium size,Superior softness versus economy tier,Pairs with coordinated premium linen set,Reliable through repeated commercial washing,60,"24"" × 50""",43.63,218.17,203.13,192.60,Bath Towel,"Premium 24"" × 50""",5,DOZEN,1.7,24,50,0.25
"Premium 27x54 Bath Towels - White, 5 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-BTW-27X54-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260980/pbath_towel.png,"Size: 27"" × 54"" | Weight: 2.2 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Bath Towel is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 27 x 54 inches. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",27 x 54 inch full-size premium coverage,"Soft, absorbent dense terry construction",Signals elevated guest experience,Simplifies large-scale linen inventory planning,60,"27"" × 54""",58.86,294.30,274.00,259.80,Bath Towel,"Premium 27"" × 54""",5,DOZEN,2.2,27,54,0.3
"Premium 20x30 Bath Mats - White, 5 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-BMT-20X30-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260980/pbathmatt.png,"Size: 20"" × 30"" | Weight: 2.0 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Bath Mat is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 20 x 30 inches. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Plush premium-density terry pile,20 x 30 inch guest bathroom fit,Manages moisture near shower and tub,Holds texture through frequent washing,60,"20"" × 30""",30.44,152.20,141.70,134.36,Bath Mat,"Premium 20"" × 30""",5,DOZEN,2,20,30,0.4
"Luxury 13x13 Wash Cloths - White, 25 Dozen Case – Cam Border, 16s x 16s x 20 Construction, 1 lb Material, 100% Ringspun Cotton Loops",RDU-TWL-WCL-13X13-LUX,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260978/lwashcloth.png,"Size: 13"" × 13"" | Weight: 0.2 lbs | Material: Cotton/Polyester Terry Blend (Luxury Density) | Case Quantity: 300 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Luxury Wash Cloth is designed for luxury guest bathrooms that need a plush, spa-like feel in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 13 x 13 inches. Made from 100% ringspun cotton loops, cam border construction, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.","Densest, softest luxury-tier terry",13 x 13 inch spa-style wash cloth,Reinforces upscale brand positioning,Durable through professional laundering,300,"13"" × 13""",8.07,201.73,187.82,178.08,Wash Cloth,"Luxury 13"" × 13""",25,DOZEN,0.2,13,13,0.15
"Luxury 16x30 Hand Towels - White, 10 Dozen Case – Cam Border, 16s x 16s x 20 Construction, 1 lb Material, 100% Ringspun Cotton Loops",RDU-TWL-HTW-16X30-LUX,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260978/lhandtowel.png,"Size: 16"" × 30"" | Weight: 0.6 lbs | Material: Cotton/Polyester Terry Blend (Luxury Density) | Case Quantity: 120 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Luxury Hand Towel is designed for luxury guest bathrooms that need a plush, spa-like feel in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 16 x 30. Made from 100% ringspun cotton loops, cam border construction, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.","Heaviest, softest hand towel in the line",16 x 30 inch luxury hand towel size,Retains loft through commercial laundering,Coordinates with full luxury linen set,120,"16"" × 30""",22.32,223.20,207.81,197.03,Hand Towel,"Luxury 16"" × 30""",10,DOZEN,0.6,16,30,0.2
"Luxury 25x50 Bath Towels - White, 5 Dozen Case – Cam Border, 16s x 16s x 20 Construction, 1 lb Material, 100% Ringspun Cotton Loops",RDU-TWL-BTW-25X50-LUX,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260979/lbathtowel.png,"Size: 25"" × 50"" | Weight: 2.0 lbs | Material: Cotton/Polyester Terry Blend (Luxury Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Luxury Bath Towel is designed for luxury guest bathrooms that need a plush, spa-like feel in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 25 x 50. Made from 100% ringspun cotton loops, cam border construction, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Extra-dense luxury-tier terry weave,25 x 50 inch generous bath towel size,Exceptional absorbency and plush feel,Retains loft after commercial laundering,60,"25"" × 50""",49.72,248.62,231.48,219.48,Bath Towel,"Luxury 25"" × 50""",5,DOZEN,2,25,50,0.3
"Luxury 27x54 Bath Towels - White, 5 Dozen Case – Cam Border, 16s x 16s x 20 Construction, 1 lb Material, 100% Ringspun Cotton Loops",RDU-TWL-BTW-27X54-LUX,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260979/lbathtowel.png,"Size: 27"" × 54"" | Weight: 2.4 lbs | Material: Cotton/Polyester Terry Blend (Luxury Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Luxury Bath Towel is designed for luxury guest bathrooms that need a plush, spa-like feel in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 27 x 54 inches. Made from 100% ringspun cotton loops, cam border construction, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",27 x 54 inch full-size luxury format,Heavyweight terry with rich texture,Meets five-star guest expectations,Consistent quality through repeated laundering,60,"27"" × 54""",65.96,329.82,307.08,291.16,Bath Towel,"Luxury 27"" × 54""",5,DOZEN,2.4,27,54,0.35
"Luxury 22x34 Bath Mats - White, 5 Dozen Case – Cam Border, 16s x 16s x 20 Construction, 1 lb Material, 100% Ringspun Cotton Loops",RDU-TWL-BMT-22X34-LUX,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260978/lbathmatt.png,"Size: 22"" × 34"" | Weight: 2.5 lbs | Material: Cotton/Polyester Terry Blend (Luxury Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Luxury Bath Mat is designed for luxury guest bathrooms that need a plush, spa-like feel in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 22 x 34 inches. Made from 100% ringspun cotton loops, cam border construction, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",22 x 34 inch oversized luxury bath mat,Spa-quality plush underfoot feel,"Highly absorbent, keeps floors dry",Built for professional-grade laundering,60,"22"" × 34""",42.62,213.10,198.40,188.12,Bath Mat,"Luxury 22"" × 34""",5,DOZEN,2.5,22,34,0.45
Linen Microfiber Sheet White Full XL Flat Sheet,RDU-BED-FLS-FXL-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260975/mfxlflat.png,Size: Full XL | Weight: 1.2 lbs | Material: 100% Microfiber | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber Full XL Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Full XL. The wrinkle-resistant microfiber construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",Microfiber fabric,Full XL flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Full XL,78.16,156.31,145.53,137.98,Linen Microfiber Sheet,Full XL Flat,2,DOZEN,1.2,84,110,0.08
Linen Microfiber Sheet White Full XL Fitted Sheet,RDU-BED-FTS-FXL-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260974/mfxlfit.png,Size: Full XL | Weight: 1.4 lbs | Material: 100% Microfiber | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber Full XL Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Full XL. The wrinkle-resistant microfiber construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",Microfiber fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Full XL flat sheet,24,Full XL,78.16,156.31,145.53,137.98,Linen Microfiber Sheet,Full XL Fitted,2,DOZEN,1.4,54,80,12
Linen Microfiber Sheet White Queen Flat Sheet,RDU-BED-FLS-QN-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260980/mfqflat.png,Size: Queen | Weight: 1.4 lbs | Material: 100% Microfiber | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber Queen Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Queen. The wrinkle-resistant microfiber construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",Microfiber fabric,Queen flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Queen,84.25,168.49,156.87,148.74,Linen Microfiber Sheet,Queen Flat,2,DOZEN,1.4,94,110,0.08
Linen Microfiber Sheet White Queen Fitted Sheet,RDU-BED-FTS-QN-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260980/mfqfit.png,Size: Queen | Weight: 1.6 lbs | Material: 100% Microfiber | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber Queen Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Queen. The wrinkle-resistant microfiber construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",Microfiber fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Queen flat sheet,24,Queen,86.28,172.55,160.65,152.32,Linen Microfiber Sheet,Queen Fitted,2,DOZEN,1.6,60,80,12
Linen Microfiber Sheet White King Flat Sheet,RDU-BED-FLS-KG-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260979/mfkflat.png,Size: King | Weight: 1.8 lbs | Material: 100% Microfiber | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber King Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: King. The wrinkle-resistant microfiber construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",Microfiber fabric,King flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,King,91.30,182.60,170.01,161.19,Linen Microfiber Sheet,King Flat,2,DOZEN,1.8,108,110,0.08
Linen Microfiber Sheet White King Fitted Sheet,RDU-BED-FTS-KG-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260979/mfkfit.png,Size: King | Weight: 2.0 lbs | Material: 100% Microfiber | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber King Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: King. The wrinkle-resistant microfiber construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",Microfiber fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching King flat sheet,24,King,93.89,187.78,174.83,165.76,Linen Microfiber Sheet,King Fitted,2,DOZEN,2,78,80,12
Linen T-180 Plain White Full XL Flat Sheet,RDU-BED-FLS-FXL-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/t180xlflat.png,Size: Full XL | Weight: 1.3 lbs | Material: 180 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 Full XL Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Full XL. The T-180 percale weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",180 thread count percale fabric,Full XL flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Full XL,78.16,156.31,145.53,137.98,Linen T-180 Sheet,Full XL Flat,2,DOZEN,1.3,84,110,0.08
Linen T-180 Plain White Full XL Fitted Sheet,RDU-BED-FTS-FXL-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/t180xlfit.png,Size: Full XL | Weight: 1.5 lbs | Material: 180 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 Full XL Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Full XL. The T-180 percale weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",180 thread count percale fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Full XL flat sheet,24,Full XL,78.16,156.31,145.53,137.98,Linen T-180 Sheet,Full XL Fitted,2,DOZEN,1.5,54,80,12
Linen T-180 Plain White Queen Flat Sheet,RDU-BED-FLS-QN-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260982/t180qflat.png,Size: Queen | Weight: 1.5 lbs | Material: 180 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 Queen Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Queen. The T-180 percale weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",180 thread count percale fabric,Queen flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Queen,84.25,168.49,156.87,148.74,Linen T-180 Sheet,Queen Flat,2,DOZEN,1.5,94,110,0.08
Linen T-180 Plain White Queen Fitted Sheet,RDU-BED-FTS-QN-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260981/t180qfit.png,Size: Queen | Weight: 1.7 lbs | Material: 180 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 Queen Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Queen. The T-180 percale weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",180 thread count percale fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Queen flat sheet,24,Queen,86.28,172.55,160.65,152.32,Linen T-180 Sheet,Queen Fitted,2,DOZEN,1.7,60,80,12
Linen T-180 Plain White King Flat Sheet,RDU-BED-FLS-KG-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/t180kflat.png,Size: King | Weight: 1.9 lbs | Material: 180 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 King Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: King. The T-180 percale weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",180 thread count percale fabric,King flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,King,91.30,182.60,170.01,161.19,Linen T-180 Sheet,King Flat,2,DOZEN,1.9,108,110,0.08
Linen T-180 Plain White King Fitted Sheet,RDU-BED-FTS-KG-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/t180kfit.png,Size: King | Weight: 2.1 lbs | Material: 180 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 King Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: King. The T-180 percale weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",180 thread count percale fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching King flat sheet,24,King,93.89,187.78,174.83,165.76,Linen T-180 Sheet,King Fitted,2,DOZEN,2.1,78,80,12
Linen T-200 Plain White Full XL Flat Sheet,RDU-BED-FLS-FXL-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260983/t200xlflat.png,Size: Full XL | Weight: 1.5 lbs | Material: 200 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 Full XL Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Full XL. The T-200 percale weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",200 thread count percale fabric,Full XL flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Full XL,106.52,213.05,198.36,188.07,Linen T-200 Sheet,Full XL Flat,2,DOZEN,1.5,86,110,0.08
Linen T-200 Plain White Full XL Fitted Sheet,RDU-BED-FTS-FXL-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260983/t200xlfit.png,Size: Full XL | Weight: 1.7 lbs | Material: 200 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 Full XL Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Full XL. The T-200 percale weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",200 thread count percale fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Full XL flat sheet,24,Full XL,105.56,211.12,196.56,186.37,Linen T-200 Sheet,Full XL Fitted,2,DOZEN,1.7,54,80,14
Linen T-200 Plain White Queen Flat Sheet,RDU-BED-FLS-QN-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260983/t200qflat.png,Size: Queen | Weight: 1.7 lbs | Material: 200 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 Queen Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Queen. The T-200 percale weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",200 thread count percale fabric,Queen flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Queen,110.53,221.07,205.82,195.15,Linen T-200 Sheet,Queen Flat,2,DOZEN,1.7,96,110,0.08
Linen T-200 Plain White Queen Fitted Sheet,RDU-BED-FTS-QN-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260982/t200qfit.png,Size: Queen | Weight: 1.9 lbs | Material: 200 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 Queen Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Queen. The T-200 percale weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",200 thread count percale fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Queen flat sheet,24,Queen,109.62,219.24,204.12,193.54,Linen T-200 Sheet,Queen Fitted,2,DOZEN,1.9,60,80,14
Linen T-200 Plain White King Flat Sheet,RDU-BED-FLS-KG-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260982/t200kflat.png,Size: King | Weight: 2.3 lbs | Material: 200 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 King Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: King. The T-200 percale weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",200 thread count percale fabric,King flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,King,131.90,263.80,245.61,232.87,Linen T-200 Sheet,King Flat,2,DOZEN,2.3,114,110,0.08
Linen T-200 Plain White King Fitted Sheet,RDU-BED-FTS-KG-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260982/t200kfit.png,Size: King | Weight: 2.4 lbs | Material: 200 Thread Count Percale Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 King Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: King. The T-200 percale weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",200 thread count percale fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching King flat sheet,24,King,126.82,253.65,236.16,223.91,Linen T-200 Sheet,King Fitted,2,DOZEN,2.4,78,80,14
Linen T-250 Plain White Full XL Flat Sheet,RDU-BED-FLS-FXL-T250,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260984/t250xlflat.png,Size: Full XL | Weight: 1.7 lbs | Material: 250 Thread Count Sateen-Style Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-250 Full XL Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Full XL. The T-250 soft weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",250 thread count sateen-style fabric,Full XL flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Full XL,116.67,233.35,217.26,205.99,Linen T-250 Sheet,Full XL Flat,2,DOZEN,1.7,86,110,0.1
Linen T-250 Plain White Full XL Fitted Sheet,RDU-BED-FTS-FXL-T250,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260984/t250xlfit.png,Size: Full XL | Weight: 1.9 lbs | Material: 250 Thread Count Sateen-Style Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-250 Full XL Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Full XL. The T-250 soft weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",250 thread count sateen-style fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Full XL flat sheet,24,Full XL,116.67,233.35,217.26,205.99,Linen T-250 Sheet,Full XL Fitted,2,DOZEN,1.9,54,80,14
Linen T-250 Plain White Queen Flat Sheet,RDU-BED-FLS-QN-T250,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260984/t250qflat.png,Size: Queen | Weight: 2.0 lbs | Material: 250 Thread Count Sateen-Style Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-250 Queen Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: Queen. The T-250 soft weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",250 thread count sateen-style fabric,Queen flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,Queen,136.97,273.95,255.06,241.83,Linen T-250 Sheet,Queen Flat,2,DOZEN,2,96,110,0.1
Linen T-250 Plain White Queen Fitted Sheet,RDU-BED-FTS-QN-T250,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260983/t250qfit.png,Size: Queen | Weight: 2.2 lbs | Material: 250 Thread Count Sateen-Style Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-250 Queen Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: Queen. The T-250 soft weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",250 thread count sateen-style fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching Queen flat sheet,24,Queen,136.97,273.95,255.06,241.83,Linen T-250 Sheet,Queen Fitted,2,DOZEN,2.2,60,80,14
Linen T-250 Plain White King Flat Sheet,RDU-BED-FLS-KG-T250,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260983/t250kflat.png,Size: King | Weight: 2.6 lbs | Material: 250 Thread Count Sateen-Style Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-250 King Flat Sheet delivers a smooth, crisp bed presentation for commercial guest rooms. Size: King. The T-250 soft weave construction is built for frequent laundry cycles, quick room turnover, and consistent hotel-quality appearance.",250 thread count sateen-style fabric,King flat sheet sizing,Built for commercial laundry cycles,Consistent color and finish retention,24,King,152.20,304.40,283.41,268.71,Linen T-250 Sheet,King Flat,2,DOZEN,2.6,114,110,0.1
Linen T-250 Plain White King Fitted Sheet,RDU-BED-FTS-KG-T250,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260983/t250kfit.png,Size: King | Weight: 2.8 lbs | Material: 250 Thread Count Sateen-Style Cotton-Poly Blend | Case Quantity: 24 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-250 King Fitted Sheet is made for secure, wrinkle-resistant bed making in busy hospitality rooms. Size: King. The T-250 soft weave construction is easy to launder, helps resist shrinkage and pilling, and keeps beds looking crisp between guest turnovers.",250 thread count sateen-style fabric,Deep-pocket elasticized fit,Resists shrinkage and pilling,Pairs with matching King flat sheet,24,King,152.20,304.40,283.41,268.71,Linen T-250 Sheet,King Fitted,2,DOZEN,2.8,78,80,14
Mattress Protector 100% Waterproof White Full XL Mattress Protector,RDU-BED-MTP-FXL-WP,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260979/mattprotectxl.png,"Size: Full XL | Weight: 1.8 lbs | Material: Waterproof Membrane, Breathable Backing | Case Quantity: 10 | Packaging: Wholesale case pack for cost-effective bulk purchasing","100% waterproof Full XL mattress protector helps extend mattress life by blocking spills, moisture, and everyday guest wear. Size: Full XL. Its breathable waterproof barrier is quiet, washable, and practical for hotels, rentals, resorts, and healthcare-style environments.",100% waterproof protective barrier,"Quiet, breathable sleep surface",Machine washable and dryer safe,Sized for Full XL commercial mattresses,10,Full XL,21.65,216.46,202.49,188.53,Mattress Protector 100% Waterproof,Full XL,10,CASE,1.8,54,80,12
Mattress Protector 100% Waterproof White Queen Mattress Protector,RDU-BED-MTP-QN-WP,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260979/mattprotectq.png,"Size: Queen | Weight: 2.0 lbs | Material: Waterproof Membrane, Breathable Backing | Case Quantity: 10 | Packaging: Wholesale case pack for cost-effective bulk purchasing","100% waterproof Queen mattress protector helps extend mattress life by blocking spills, moisture, and everyday guest wear. Size: Queen. Its breathable waterproof barrier is quiet, washable, and practical for hotels, rentals, resorts, and healthcare-style environments.",100% waterproof protective barrier,"Quiet, breathable sleep surface",Machine washable and dryer safe,Sized for Queen commercial mattresses,10,Queen,25.99,259.86,243.09,226.33,Mattress Protector 100% Waterproof,Queen,10,CASE,2,60,80,12
Mattress Protector 100% Waterproof White King Mattress Protector,RDU-BED-MTP-KG-WP,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260978/mattprotectk.png,"Size: King | Weight: 2.5 lbs | Material: Waterproof Membrane, Breathable Backing | Case Quantity: 10 | Packaging: Wholesale case pack for cost-effective bulk purchasing","100% waterproof King mattress protector helps extend mattress life by blocking spills, moisture, and everyday guest wear. Size: King. Its breathable waterproof barrier is quiet, washable, and practical for hotels, rentals, resorts, and healthcare-style environments.",100% waterproof protective barrier,"Quiet, breathable sleep surface",Machine washable and dryer safe,Sized for King commercial mattresses,10,King,27.07,270.71,253.24,235.78,Mattress Protector 100% Waterproof,King,10,CASE,2.5,78,80,12
